,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,6072469,10519759,141005728,10932800,20571171,21067342,5830503,4224964,4495478,2691973,2659245,2383729,1936681,1216249,896665,622061,548632,448632,385196,308826,254653,227432,163875,139399,123617,105642,93412,83321,71699,63492,55102,49360,41035,36308,32718,28747,25865,23462,21073,18640,17156,15007,13494,12328,11534,10279,9379,8622,7991,7314,6576,6061,5498,5028,4721,4160,3890,3614,3236,3121,2864,2606,2380,2246,2161,1917,1804,1736,1563,1502,1413,1340,1247,1157,1027,1014,906,879,850,783,726,665,653,655,557,568,522,470,444,435,390,385,372,331,340,326,299,257,251,236,222,218,209,214,198,176,139,173,168,120,134,119,131,105,106,110,105,90,88,65,86,67,82,63,44,60,47,46,35,43,40,27,32,31,24,30,21,25,28,27,19,16,18,11,19,11,14,7,14,9,8,8,8,12,7,5,7,6,2,4,10,6,7,3,2,2,1,1,3,2,4,2,1,5,4,1,1,4,0,2,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,787598,8537697,738252,22170539,1812656,3787148,4623229,1330868,469843,1195943,473855,442891,368488,487635,225321,226961,103852,109437,71997,77294,59594,33520,56942,29903,20649,21963,15344,13457,13445,10120,10550,6988,9336,5955,4410,5118,3805,3130,3178,3035,2154,2347,2105,1633,1236,1500,1100,991,1050,907,713,805,725,586,478,538,431,379,475,277,302,304,224,223,194,249,191,186,170,120,115,152,107,106,98,112,78,69,88,67,63,70,53,60,58,50,47,40,31,33,40,33,26,29,22,22,31,31,18,22,12,24,19,13,16,10,18,8,14,7,12,10,11,6,6,9,7,10,7,5,5,7,5,6,1,5,5,4,0,3,3,1,2,4,4,3,2,1,2,2,0,3,0,1,0,0,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,385978,700409,2523467,474003,7627268,1090350,1892627,2072859,727431,310179,676173,335738,282839,230749,316636,147261,155032,76624,82240,53535,56863,47289,26186,43723,24154,16729,17686,12926,11444,10775,8477,8838,5989,7831,5076,3920,4391,3373,2895,2786,2693,1859,2056,1788,1440,1130,1335,1027,855,995,832,717,727,597,520,410,472,408,287,420,264,294,262,208,232,179,229,187,175,155,113,145,133,97,88,82,99,71,59,87,58,57,59,53,43,53,56,50,55,36,31,30,29,30,23,26,25,15,14,20,16,14,19,13,21,12,12,12,12,13,13,11,11,4,5,9,9,4,4,7,5,6,4,3,9,3,2,3,5,3,3,3,2,3,1,3,1,3,4,2,0,1,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,167250,213995,370505,1141266,319377,3817415,724086,1129912,1187174,475688,221873,434362,252116,196503,160001,224255,104877,112740,59774,63542,42339,43875,37863,21665,35637,19789,13951,14865,10915,9789,9391,7436,7701,5079,6807,4436,3417,3806,2924,2626,2492,2368,1688,1830,1533,1304,1056,1199,919,809,868,754,639,618,541,533,372,441,404,296,381,254,273,289,204,206,152,203,157,137,150,112,147,106,98,93,77,92,65,67,72,62,55,62,54,46,47,51,46,34,30,43,26,24,17,22,30,24,21,14,17,26,16,25,12,17,21,12,17,7,15,9,9,3,11,8,9,13,7,4,6,7,5,3,2,4,1,0,5,3,3,3,1,3,6,3,2,0,0,2,1,1,1,2,0,2,0,3,2,1,0,1,2,2,1,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,167043,108466,142750,240473,666954,228475,2258409,505212,732275,756987,335666,166153,300780,195948,145076,118741,168660,79599,86028,47603,51283,34089,35207,31969,18041,28694,16574,12002,12524,9420,8464,8057,6406,6819,4619,5994,3968,3019,3381,2673,2330,2211,2164,1599,1687,1426,1147,961,1126,858,773,807,658,616,628,476,436,358,406,406,256,378,220,249,233,202,212,160,191,138,133,124,98,105,95,102,85,72,92,61,73,71,48,57,50,51,55,51,42,48,42,26,26,41,28,22,20,25,29,34,24,16,12,22,17,19,15,17,9,11,14,15,5,8,4,2,11,3,3,4,3,4,5,7,8,2,4,5,6,5,2,3,1,2,0,8,2,3,0,0,0,0,2,0,2,1,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,180076,52295,59763,104036,166874,447405,172453,1451079,366666,502195,512616,249650,127125,217401,155443,111017,91774,129835,62741,67764,39670,42108,28539,28910,27116,15227,24075,14145,10284,10938,8137,7565,7021,5502,5993,4149,5453,3510,2701,3072,2444,2009,1946,1986,1490,1489,1293,1082,829,988,784,705,696,621,548,484,459,425,326,367,348,252,355,195,253,239,176,168,128,159,125,114,135,95,129,113,82,89,72,84,61,46,64,52,55,36,49,41,36,38,25,30,26,28,28,28,19,26,25,16,24,17,20,13,13,21,10,10,11,8,12,14,7,11,11,2,8,9,8,6,6,9,4,2,4,5,2,7,4,3,4,3,4,5,1,3,2,4,3,1,2,4,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,48029,74801,35786,40799,77524,122060,309529,134994,989307,274499,357039,362463,191373,100552,161443,124959,86522,72158,102847,50216,54415,32733,35557,23746,23982,22857,13044,20637,12408,8961,9438,7216,6684,6166,5039,5517,3680,4749,3343,2511,2784,2182,1999,1891,1761,1364,1425,1181,1010,762,933,691,699,729,611,537,521,455,423,279,334,322,250,346,208,211,223,150,196,158,176,120,125,129,107,110,100,66,86,66,82,72,48,73,50,57,55,54,39,46,44,38,48,31,27,37,25,26,20,19,14,21,24,15,12,24,27,13,18,19,11,7,12,14,11,6,7,11,4,7,6,7,3,3,2,2,6,6,1,2,2,3,0,3,2,4,0,3,1,3,2,2,1,0,2,1,1,1,1,0,2,0,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,42861,23245,50209,27715,29930,58986,91417,223258,107833,702359,211221,261964,264734,148880,80129,123500,102285,68961,57806,82911,40551,44740,27638,30432,20294,20237,19807,11139,17453,10853,8006,8303,6438,6027,5556,4433,4787,3232,4202,2906,2282,2668,2065,1821,1700,1604,1227,1268,1132,924,779,866,668,618,665,581,472,496,400,412,281,335,313,201,270,182,200,224,148,190,120,164,142,132,121,91,114,108,98,90,65,82,66,68,76,66,45,50,36,47,32,36,37,42,33,31,31,29,29,28,18,24,23,25,16,19,15,15,15,8,13,11,12,9,8,8,7,9,10,7,5,6,6,6,4,3,1,3,3,4,4,1,3,1,1,2,2,1,1,2,2,0,2,2,1,1,0,2,1,0,2,1,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,17824,14602,15506,37706,21768,22712,45641,70704,166291,87928,514387,164191,197643,198197,118929,64939,96805,85318,56247,47518,68056,33783,37062,23515,25615,17870,17239,17207,9802,15102,9419,7093,7328,5678,5273,5036,4078,4318,2888,3747,2647,1989,2259,1892,1605,1529,1495,1109,1139,1034,822,662,780,651,545,605,552,470,439,391,353,289,325,285,224,295,185,177,201,134,159,102,168,125,140,135,87,99,89,71,72,65,88,59,50,54,52,53,52,29,39,40,43,29,36,17,27,16,25,22,19,24,28,15,19,16,13,12,20,15,5,10,18,12,15,9,12,7,6,5,7,7,4,8,1,3,2,1,3,3,3,4,3,5,6,2,0,1,1,0,0,1,2,1,0,0,0,1,2,0,1,0,1,1,1,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,17641,10131,10405,12291,29767,17640,17937,35873,54955,125960,72268,387218,131191,150961,153311,95199,53338,77104,71150,46263,39529,56426,28152,31323,20164,22279,15119,14957,15227,8617,13234,8679,6436,6450,5142,4922,4504,3499,3939,2702,3437,2423,1904,2073,1676,1480,1442,1387,1013,986,952,822,670,726,586,527,541,477,446,407,384,360,255,296,255,185,250,167,198,213,125,154,122,143,106,120,114,85,106,86,84,64,54,84,57,45,53,42,41,63,38,37,35,46,31,33,28,29,19,23,28,36,20,21,21,22,21,17,14,21,6,14,7,17,13,7,16,9,13,9,6,4,9,5,5,1,4,3,3,5,4,3,0,1,2,2,5,2,1,0,0,3,1,0,1,1,1,0,1,2,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
